Summary,Priority,Assignee,Custom field (Story Points),,,,,,,,,,,,,,,,,,,,
"As a user, I would like to keep the contest to have time for 1-2 days",Medium,CB.EN.U4CSE17064,8,,,,,,,,,,,,,,,,,,,,
"As a user, I would like to keep the track of stars",Medium,CB.EN.U4CSE17051,6,,,,,,,,,,,,,,,,,,,,
"As a user, If I get more than 70 % in a test, I would earn extra star ",Medium,CB.EN.U4CSE17064,2,,,,,,,,,,,,,,,,,,,,
"As a user, I would like to add the contest marks to the original standing marks.",Medium,CB.EN.U4CSE17021,2,,,,,,,,,,,,,,,,,,,,
"As a user, I would like to know the areas that I am good in",Medium,CB.EN.U4CSE17051,2,,,,,,,,,,,,,,,,,,,,
"As a user, I would want to know average score per subject",Medium,CB.EN.U4CSE17051,2,,,,,,,,,,,,,,,,,,,,
"As a user, I want to track my performance",High,CB.EN.U4CSE17001,2,,,,,,,,,,,,,,,,,,,,
"As a user, I would want to see my overall performance",High,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
"As a user, I would want to be able to view my result with appropriate grade",Medium,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
"As a user, I would like to take a random quiz for the day",Medium,CB.EN.U4CSE17001,2,,,,,,,,,,,,,,,,,,,,
Validation of username.,High,CB.EN.U4CSE17001,1,,,,,,,,,,,,,,,,,,,,
Validation of password.,High,CB.EN.U4CSE17001,1,,,,,,,,,,,,,,,,,,,,
Display the points awarded for that question.,Medium,CB.EN.U4CSE17001,1,,,,,,,,,,,,,,,,,,,,
Display answers at the end/immediately after each test/question.,Medium,CB.EN.U4CSE17001,1,,,,,,,,,,,,,,,,,,,,
Perform validations.,Medium,CB.EN.U4CSE17001,1,,,,,,,,,,,,,,,,,,,,
Create the sign-up workflow.,Medium,CB.EN.U4CSE17001,1,,,,,,,,,,,,,,,,,,,,
Link it to a database.,High,CB.EN.U4CSE17001,1,,,,,,,,,,,,,,,,,,,,
"As a user,I would like to know the answers with explanation after taking the quiz.",Medium,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
Notification,Medium,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
"As a user, If the username already exists then notify me to change to new username",Medium,CB.EN.U4CSE17064,2,,,,,,,,,,,,,,,,,,,,
Register through google or facebook,High,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
Save my password,Medium,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
Login through google or facebook,High,CB.EN.U4CSE17029,2,,,,,,,,,,,,,,,,,,,,
